"","Position","Genes","AGBE-OT_NT1.indel","AGBE-OT_NT2.indel","AGBE-OT_NT3.indel","WT1.indel","WT2.indel","WT3.indel","AGBE-OT_NT1.snp","AGBE-OT_NT2.snp","AGBE-OT_NT3.snp","WT1.snp","WT2.snp","WT3.snp"
"137","intergenic","ALG10","0","0","0","0","0","0","77","70","94","121","92","71"
"138","intergenic","LOC646813","0","0","0","0","0","0","69","66","66","79","70","60"
"139","intergenic","TRIM48","0","0","0","0","0","0","68","73","76","81","81","55"
"140","intergenic","MIR663AHG","0","0","0","0","0","0","60","61","92","93","56","75"
"141","intergenic","SLC6A10P","0","0","0","0","0","0","49","49","0","0","0","0"
"142","intergenic","LOC644669","0","0","0","0","0","0","42","44","49","0","0","0"
"143","intergenic","MTRNR2L1","0","0","0","0","0","0","41","0","0","53","0","38"
"144","intergenic","SLC16A7","0","0","0","0","0","0","0","49","0","56","49","50"
"145","intergenic","LINC00494","0","0","0","0","0","0","0","44","0","0","0","0"
"146","intergenic","PROS1","0","0","0","0","0","0","0","0","62","56","0","0"
"147","intergenic","OR4A47","0","0","0","0","0","0","0","0","0","54","0","0"
"148","intergenic","TRIM49B","0","0","0","0","0","0","0","0","0","53","0","0"
"149","intergenic","OR4A15","0","0","0","0","0","0","0","0","0","0","0","58"
"150","intergenic","LINC00680-GUSBP4","0","0","0","0","0","0","0","0","0","0","0","38"
